,date,open,high,low,close,volume,money
344,2006-08-28,43.91,44.19,43.4,43.85,2557259.0,112066807.0
345,2006-08-29,43.97,46.21,43.96,45.66,3785440.0,171776439.0
346,2006-08-30,45.25,45.8,44.8,44.98,969292.0,43806887.0
347,2006-08-31,45.0,45.47,44.8,45.23,1235848.0,55827539.0
348,2006-09-01,45.35,45.37,44.88,45.07,1087394.0,48927412.0
349,2006-09-04,44.78,45.27,44.78,45.13,590376.0,26589669.0
350,2006-09-05,45.01,45.23,44.82,44.94,1235476.0,55522598.0
351,2006-09-06,44.9,45.45,44.8,45.12,1138069.0,51403210.0
352,2006-09-07,44.98,45.15,44.39,44.99,1051862.0,46987030.0
353,2006-09-08,44.5,44.9,44.16,44.46,589062.0,26157744.0
354,2006-09-11,44.2,44.41,43.89,44.13,830299.0,36625467.0
355,2006-09-12,44.13,44.13,43.7,43.8,1939305.0,85026963.0
356,2006-09-13,43.82,44.26,43.82,43.88,1842146.0,81014932.0
357,2006-09-14,44.0,46.14,43.2,46.1,6336687.0,284212834.0
358,2006-09-15,46.1,46.78,45.1,45.84,2924397.0,134841289.0
359,2006-09-18,45.88,46.1,45.28,45.83,3408476.0,155113047.0
360,2006-09-19,45.66,46.74,45.45,46.41,2999252.0,138992138.0
361,2006-09-20,46.29,47.32,46.08,46.99,2244246.0,105158852.0
362,2006-09-21,47.0,47.15,46.8,46.8,1631283.0,76643185.0
363,2006-09-22,46.76,47.0,46.1,46.81,1242597.0,57912198.0
364,2006-09-25,46.35,47.15,46.35,46.72,1047525.0,49168157.0
365,2006-09-26,46.67,46.68,45.96,45.98,1178972.0,54462375.0
366,2006-09-27,45.89,46.35,45.66,46.12,805218.0,36977026.0
367,2006-09-28,46.0,46.95,45.72,46.81,1677920.0,77577351.0
368,2006-09-29,46.8,47.88,46.5,47.43,2275622.0,107764446.0
369,2006-10-09,48.01,51.3,48.01,50.87,3797012.0,191569287.0
370,2006-10-10,51.5,52.5,50.5,50.73,2412448.0,124074029.0
371,2006-10-11,50.67,51.0,49.5,49.74,1211797.0,60357112.0
372,2006-10-12,49.74,50.26,49.08,49.63,1428689.0,70986726.0
373,2006-10-13,49.63,49.8,48.71,49.01,1489803.0,73257749.0
374,2006-10-16,49.0,49.0,46.8,47.4,3807675.0,180476685.0
375,2006-10-17,47.4,48.4,46.85,48.14,1537044.0,73212480.0
376,2006-10-18,48.0,50.21,47.5,49.81,2387883.0,118175550.0
377,2006-10-19,49.65,50.5,49.02,50.0,1661115.0,83199478.0
